,location,total_sqft,bath,price,bedroom
121,7th Phase JP Nagar,1270.0,2.0,93.0,2
122,7th Phase JP Nagar,1420.0,2.0,100.0,3
123,7th Phase JP Nagar,1850.0,3.0,150.0,3
124,7th Phase JP Nagar,1245.0,2.0,94.0,2
125,7th Phase JP Nagar,1175.0,2.0,82.0,2
126,7th Phase JP Nagar,1400.0,2.0,95.0,3
127,7th Phase JP Nagar,2225.0,3.0,160.0,3
128,7th Phase JP Nagar,1050.0,2.0,71.0,2
129,7th Phase JP Nagar,1100.0,2.0,46.0,2
130,7th Phase JP Nagar,918.0,2.0,50.49,2
131,7th Phase JP Nagar,1450.0,2.0,100.0,3
132,7th Phase JP Nagar,1190.0,2.0,49.98,2
133,7th Phase JP Nagar,1420.0,2.0,96.0,3
134,7th Phase JP Nagar,1680.0,3.0,120.0,3
135,7th Phase JP Nagar,980.0,2.0,69.0,2
136,7th Phase JP Nagar,1180.0,2.0,72.0,2
137,7th Phase JP Nagar,1050.0,2.0,57.0,3
138,7th Phase JP Nagar,1343.0,2.0,56.41,3
139,7th Phase JP Nagar,1405.0,2.0,59.01,3
140,7th Phase JP Nagar,1400.0,3.0,115.0,3
141,7th Phase JP Nagar,1270.0,2.0,83.0,2
142,7th Phase JP Nagar,3300.0,4.0,150.0,4
143,7th Phase JP Nagar,2503.0,4.0,188.0,4
144,7th Phase JP Nagar,2200.0,3.0,190.0,3
145,7th Phase JP Nagar,1250.0,3.0,65.0,3
146,7th Phase JP Nagar,1385.0,2.0,58.17,3
147,7th Phase JP Nagar,1575.0,2.0,110.0,3
148,7th Phase JP Nagar,1850.0,3.0,140.0,3
149,7th Phase JP Nagar,1575.0,2.0,120.0,3
150,7th Phase JP Nagar,1850.0,3.0,150.0,3
151,7th Phase JP Nagar,1680.0,3.0,120.0,3
152,7th Phase JP Nagar,1175.0,2.0,82.5,2
153,7th Phase JP Nagar,3300.0,4.0,160.0,3
154,7th Phase JP Nagar,2200.0,4.0,105.0,3
155,7th Phase JP Nagar,1215.0,2.0,90.0,2
156,7th Phase JP Nagar,1050.0,2.0,75.0,2
157,7th Phase JP Nagar,1300.0,3.0,89.13,3
158,7th Phase JP Nagar,1130.0,2.0,73.0,2
159,7th Phase JP Nagar,1450.0,3.0,100.0,3
160,7th Phase JP Nagar,1350.0,3.0,58.0,3
161,7th Phase JP Nagar,1050.0,2.0,50.0,2
162,7th Phase JP Nagar,1275.0,2.0,87.0,2
163,7th Phase JP Nagar,1460.0,3.0,70.0,3
164,7th Phase JP Nagar,1650.0,3.0,110.0,3
165,7th Phase JP Nagar,850.0,2.0,42.0,2
166,7th Phase JP Nagar,1680.0,3.0,117.0,3
167,7th Phase JP Nagar,1850.0,3.0,150.0,3
168,7th Phase JP Nagar,1236.0,2.0,61.33,2
169,7th Phase JP Nagar,1000.0,2.0,53.0,2
170,7th Phase JP Nagar,1680.0,3.0,125.0,3
171,7th Phase JP Nagar,1675.0,2.0,135.0,3
172,7th Phase JP Nagar,1187.0,2.0,59.0,2
173,7th Phase JP Nagar,1850.0,3.0,155.0,3
174,7th Phase JP Nagar,1000.0,2.0,61.0,2
175,7th Phase JP Nagar,1460.0,2.0,100.0,3
176,7th Phase JP Nagar,1650.0,3.0,110.0,3
177,7th Phase JP Nagar,1200.0,2.0,62.5,2
178,7th Phase JP Nagar,1000.0,2.0,70.65,2
179,7th Phase JP Nagar,1080.0,2.0,75.0,2
180,7th Phase JP Nagar,1415.0,3.0,65.0,3
181,7th Phase JP Nagar,1680.0,3.0,125.0,3
182,7th Phase JP Nagar,1460.0,2.0,97.0,3
183,7th Phase JP Nagar,1120.0,2.0,65.0,2
184,7th Phase JP Nagar,1100.0,3.0,60.0,2
185,7th Phase JP Nagar,1790.0,3.0,120.0,3
186,7th Phase JP Nagar,1680.0,3.0,117.0,3
187,7th Phase JP Nagar,1050.0,2.0,77.0,2
188,7th Phase JP Nagar,1050.0,2.0,75.0,2
189,7th Phase JP Nagar,1040.0,2.0,75.0,2
190,7th Phase JP Nagar,1400.0,2.0,95.0,3
191,7th Phase JP Nagar,1800.0,3.0,130.0,3
192,7th Phase JP Nagar,1050.0,2.0,68.0,2
193,7th Phase JP Nagar,1000.0,2.0,60.0,2
194,7th Phase JP Nagar,1680.0,3.0,125.0,3
195,7th Phase JP Nagar,1050.0,2.0,77.47,2
196,7th Phase JP Nagar,1270.0,2.0,80.0,2
197,7th Phase JP Nagar,1463.0,2.0,61.45,3
198,7th Phase JP Nagar,1680.0,3.0,122.0,3
199,7th Phase JP Nagar,1130.0,2.0,85.0,2
200,7th Phase JP Nagar,1680.0,3.0,130.0,3
201,7th Phase JP Nagar,980.0,2.0,77.44,2
202,7th Phase JP Nagar,1680.0,3.0,112.0,3
203,7th Phase JP Nagar,1515.0,2.0,76.0,3
204,7th Phase JP Nagar,2095.0,3.0,150.0,3
205,7th Phase JP Nagar,1976.0,3.0,145.0,3
206,7th Phase JP Nagar,1600.0,2.0,110.0,3
207,7th Phase JP Nagar,1765.0,3.0,118.0,3
208,7th Phase JP Nagar,1275.0,2.0,88.0,3
209,7th Phase JP Nagar,1450.0,2.0,102.0,3
210,7th Phase JP Nagar,1575.0,2.0,110.0,3
211,7th Phase JP Nagar,1075.0,2.0,57.0,3
212,7th Phase JP Nagar,750.0,1.0,47.0,1
213,7th Phase JP Nagar,990.0,2.0,50.0,2
214,7th Phase JP Nagar,1000.0,1.0,60.0,1
215,7th Phase JP Nagar,1680.0,2.0,92.0,3
216,7th Phase JP Nagar,1430.0,2.0,102.0,3
217,7th Phase JP Nagar,1128.0,2.0,60.0,2
218,7th Phase JP Nagar,1140.0,2.0,57.0,2
219,7th Phase JP Nagar,1420.0,3.0,90.0,3
220,7th Phase JP Nagar,1530.0,2.0,108.0,2
221,8th Phase JP Nagar,1073.5,2.0,54.005,2
222,8th Phase JP Nagar,451.0,1.0,29.9,1
223,8th Phase JP Nagar,1240.0,3.0,43.5,3
224,8th Phase JP Nagar,1062.0,2.0,42.47,2
225,8th Phase JP Nagar,1230.0,2.0,43.5,3
226,8th Phase JP Nagar,1455.0,3.0,73.31,3
227,8th Phase JP Nagar,871.0,2.0,55.0,2
228,8th Phase JP Nagar,1098.0,2.0,43.91,2
229,8th Phase JP Nagar,1800.0,3.0,80.0,3
230,8th Phase JP Nagar,2700.0,4.0,130.0,4
231,8th Phase JP Nagar,1080.0,2.0,38.0,2
232,8th Phase JP Nagar,1059.0,2.0,34.5,2
233,8th Phase JP Nagar,1080.0,2.0,35.0,2
234,8th Phase JP Nagar,1275.0,2.0,41.5,3
235,8th Phase JP Nagar,1062.0,2.0,42.47,2
236,8th Phase JP Nagar,500.0,1.0,31.0,1
237,8th Phase JP Nagar,1100.0,2.0,35.0,2
238,8th Phase JP Nagar,2100.0,4.0,92.0,4
239,8th Phase JP Nagar,1035.0,2.0,39.33,2
240,8th Phase JP Nagar,909.0,2.0,40.9,2
241,8th Phase JP Nagar,1431.5,3.0,72.02,3
242,8th Phase JP Nagar,1900.0,4.0,90.0,3
243,8th Phase JP Nagar,500.0,1.0,30.0,1
244,8th Phase JP Nagar,1125.0,2.0,36.94,2
245,8th Phase JP Nagar,1200.0,3.0,110.0,4
246,8th Phase JP Nagar,1100.0,2.0,35.0,2
247,8th Phase JP Nagar,1089.0,2.0,43.55,2
248,8th Phase JP Nagar,1605.0,2.0,65.0,3
249,8th Phase JP Nagar,1504.0,2.0,83.0,3
250,8th Phase JP Nagar,2600.0,4.0,115.0,4
251,8th Phase JP Nagar,1368.0,2.0,54.71,3
252,8th Phase JP Nagar,1089.0,2.0,43.55,2
253,8th Phase JP Nagar,1224.0,2.0,48.95,3
254,8th Phase JP Nagar,1513.0,2.0,62.0,2
255,8th Phase JP Nagar,1298.0,2.0,59.0,2
256,8th Phase JP Nagar,1006.0,2.0,44.0,2
257,8th Phase JP Nagar,500.0,1.0,33.0,1
258,8th Phase JP Nagar,1160.0,2.0,95.0,2
259,8th Phase JP Nagar,1245.0,2.0,59.0,2
260,8th Phase JP Nagar,1510.0,2.0,80.0,2
261,8th Phase JP Nagar,3300.0,3.0,165.0,3
262,8th Phase JP Nagar,1730.0,5.0,75.0,5
263,8th Phase JP Nagar,1296.0,2.0,51.83,3
264,8th Phase JP Nagar,1275.0,3.0,45.0,3
265,8th Phase JP Nagar,1046.0,2.0,48.0,2
266,8th Phase JP Nagar,1269.0,2.0,50.75,3
267,8th Phase JP Nagar,1408.0,3.0,80.0,3
268,8th Phase JP Nagar,1500.0,2.0,55.0,3
269,9th Phase JP Nagar,1005.0,2.0,50.0,2
270,9th Phase JP Nagar,1890.0,2.0,85.0,3
271,9th Phase JP Nagar,1100.0,2.0,65.0,2
272,9th Phase JP Nagar,1080.0,2.0,37.0,2
273,9th Phase JP Nagar,1035.0,2.0,45.0,2
274,9th Phase JP Nagar,5000.0,4.0,290.0,4
275,9th Phase JP Nagar,1164.0,2.0,56.0,2
276,9th Phase JP Nagar,1005.0,2.0,42.0,2
277,9th Phase JP Nagar,3500.0,4.0,300.0,4
278,9th Phase JP Nagar,1127.0,2.0,50.0,2
279,9th Phase JP Nagar,1005.0,2.0,43.0,2
280,9th Phase JP Nagar,835.0,2.0,37.0,2
281,9th Phase JP Nagar,1050.0,2.0,39.0,2
282,9th Phase JP Nagar,660.0,2.0,27.0,2
283,9th Phase JP Nagar,600.0,1.0,20.0,1
284,9th Phase JP Nagar,1466.0,2.0,71.0,2
285,9th Phase JP Nagar,1890.0,2.0,93.0,3
286,9th Phase JP Nagar,1079.0,2.0,60.0,2
287,9th Phase JP Nagar,1480.0,2.0,80.0,2
288,9th Phase JP Nagar,1200.0,2.0,80.0,2
289,9th Phase JP Nagar,905.0,2.0,32.0,2
290,9th Phase JP Nagar,1073.0,2.0,52.36,2
291,9th Phase JP Nagar,1719.3,2.0,88.0,3
292,9th Phase JP Nagar,1780.0,3.0,88.0,3
293,9th Phase JP Nagar,1300.0,2.0,58.0,3
294,9th Phase JP Nagar,1522.0,3.0,90.0,3
295,9th Phase JP Nagar,1571.0,3.0,65.0,3
296,9th Phase JP Nagar,1900.0,4.0,80.0,4
297,9th Phase JP Nagar,890.0,2.0,45.0,2
298,9th Phase JP Nagar,1240.0,2.0,39.89,3
299,9th Phase JP Nagar,5000.0,4.0,300.0,4
300,9th Phase JP Nagar,1240.0,2.0,42.85,3
301,9th Phase JP Nagar,1050.0,2.0,35.0,2
302,9th Phase JP Nagar,1331.95,2.0,69.0,2
303,AECS Layout,1100.0,2.0,45.0,2
304,AECS Layout,1028.0,2.0,42.0,2
305,AECS Layout,1199.0,2.0,65.0,2
306,AECS Layout,1080.0,2.0,55.0,2
307,AECS Layout,1123.0,2.0,64.0,2
308,AECS Layout,1308.0,2.0,60.0,2
309,AECS Layout,1005.0,2.0,55.0,2
310,AECS Layout,2000.0,3.0,90.0,3
311,Abbigere,985.0,2.0,40.39,2
312,Abbigere,2200.0,6.0,68.0,6
313,Abbigere,765.0,2.0,30.0,1
314,Abbigere,880.0,2.0,35.0,2
315,Abbigere,795.0,2.0,32.54,2
316,Abbigere,1005.0,2.0,39.59,2
317,Abbigere,734.0,1.0,19.82,1
318,Abbigere,1260.0,2.0,45.0,3
319,Abbigere,1020.0,2.0,41.82,2
320,Abbigere,985.0,2.0,40.39,2
321,Abbigere,2500.0,6.0,81.0,6
322,Abbigere,795.0,2.0,32.54,2
323,Abbigere,1130.0,2.0,46.33,2
324,Abbigere,795.0,1.0,32.6,2
325,Abbigere,3000.0,8.0,150.0,8
326,Abbigere,985.0,2.0,38.92,2
327,Abbigere,1000.0,2.0,41.0,2
328,Abbigere,995.0,2.0,40.8,2
329,Abbigere,1020.0,2.0,40.8,2
330,Akshaya Nagar,1388.0,2.0,57.0,2
331,Akshaya Nagar,1070.0,2.0,54.0,2
332,Akshaya Nagar,1280.0,2.0,58.0,2
333,Akshaya Nagar,1662.0,3.0,85.1,3
334,Akshaya Nagar,1897.0,3.0,120.0,3
335,Akshaya Nagar,1410.0,2.0,75.0,3
336,Akshaya Nagar,1360.0,2.0,85.0,3
337,Akshaya Nagar,1600.0,2.0,65.0,3
338,Akshaya Nagar,1410.0,2.0,80.0,3
339,Akshaya Nagar,1662.0,3.0,85.0,3
340,Akshaya Nagar,1080.0,4.0,75.0,4
341,Akshaya Nagar,1662.0,3.0,85.5,3
342,Akshaya Nagar,1280.0,2.0,60.0,2
343,Akshaya Nagar,1666.0,3.0,95.0,3
344,Akshaya Nagar,1575.0,3.0,90.0,3
345,Akshaya Nagar,1430.0,2.0,75.0,3
346,Akshaya Nagar,1419.0,2.0,73.0,3
347,Akshaya Nagar,1280.0,2.0,60.0,2
348,Akshaya Nagar,1200.0,2.0,50.0,2
349,Akshaya Nagar,1092.0,2.0,60.0,2
350,Akshaya Nagar,1690.0,3.0,85.0,3
351,Akshaya Nagar,1700.0,3.0,80.0,3
352,Akshaya Nagar,1897.0,4.0,93.0,3
353,Akshaya Nagar,1884.0,3.0,98.0,3
354,Akshaya Nagar,1314.0,2.0,68.8,2
355,Akshaya Nagar,1690.0,3.0,85.0,3
356,Akshaya Nagar,1265.0,2.0,67.0,2
357,Akshaya Nagar,1126.0,2.0,55.0,2
358,Akshaya Nagar,2300.0,4.0,102.0,3
359,Akshaya Nagar,1662.0,3.0,90.0,3
360,Akshaya Nagar,1420.0,2.0,75.0,3
361,Akshaya Nagar,1412.0,2.0,88.0,3
362,Akshaya Nagar,1434.0,3.0,84.0,3
363,Akshaya Nagar,1890.0,4.0,100.0,3
364,Akshaya Nagar,2650.0,3.0,125.0,3
365,Akshaya Nagar,1419.0,2.0,87.0,3
366,Akshaya Nagar,1300.0,2.0,54.0,2
367,Akshaya Nagar,1690.0,3.0,85.0,3
368,Akshaya Nagar,1113.0,2.0,52.0,2
369,Akshaya Nagar,1820.0,4.0,95.0,3
370,Akshaya Nagar,1100.0,2.0,48.0,2
371,Akshaya Nagar,1896.0,3.0,102.0,3
372,Akshaya Nagar,1300.0,2.0,66.0,2
373,Akshaya Nagar,1225.0,2.0,68.0,2
374,Akshaya Nagar,1179.0,2.0,51.0,2
375,Akshaya Nagar,1421.0,2.0,73.0,3
376,Akshaya Nagar,1893.0,4.0,95.0,3
377,Akshaya Nagar,900.0,2.0,45.0,2
378,Ambalipura,1105.0,2.0,75.0,2
379,Ambalipura,1800.0,3.0,110.0,3
380,Ambalipura,1150.0,2.0,80.0,2
381,Ambalipura,1250.0,2.0,66.25,2
382,Ambalipura,1332.0,2.0,79.0,2
383,Ambalipura,1730.0,3.0,120.0,3
384,Ambalipura,3500.0,3.0,198.0,3
385,Ambalipura,1230.0,2.0,66.25,2
386,Ambalipura,1351.0,2.0,77.0,2
387,Ambalipura,2550.0,4.0,149.0,4
388,Ambalipura,1817.0,3.0,102.0,3
389,Ambalipura,2750.0,4.0,142.0,4
390,Ambalipura,1303.0,2.0,80.0,2
391,Ambalipura,1607.0,2.0,112.0,3
392,Ambalipura,770.0,1.0,43.82,1
393,Ambalipura,1700.0,2.0,76.0,2
394,Ambalipura,1060.0,2.0,58.5,2
395,Ambalipura,1650.0,3.0,100.0,3
396,Ambalipura,1607.0,2.0,112.0,3
397,Ambalipura,1198.0,2.0,80.0,2
398,Ambedkar Nagar,1935.0,4.0,130.0,3
399,Ambedkar Nagar,1424.0,2.0,90.0,2
400,Ambedkar Nagar,2225.0,4.0,169.0,3
401,Ambedkar Nagar,1862.0,3.0,120.0,3
402,Ambedkar Nagar,1850.0,4.0,139.0,3
403,Ambedkar Nagar,1936.0,4.0,126.0,3
404,Ambedkar Nagar,1862.0,3.0,119.0,3
405,Ambedkar Nagar,1424.0,2.0,90.0,2
406,Ambedkar Nagar,2150.0,4.0,125.0,3
407,Ambedkar Nagar,3530.0,4.0,290.0,4
408,Ambedkar Nagar,1856.0,3.0,120.0,3
409,Ambedkar Nagar,1852.0,3.0,130.0,3
410,Ambedkar Nagar,1850.0,4.0,120.0,3
411,Ambedkar Nagar,1367.0,2.0,86.0,2
412,Ambedkar Nagar,3565.0,4.0,255.0,4
413,Ambedkar Nagar,1409.0,2.0,95.0,2
414,Ambedkar Nagar,1950.0,4.0,120.0,3
415,Ambedkar Nagar,1921.0,4.0,129.0,3
416,Ambedkar Nagar,1920.0,4.0,121.0,3
417,Ambedkar Nagar,1935.0,4.0,125.0,3
418,Ambedkar Nagar,1852.0,4.0,122.0,3
419,Ambedkar Nagar,1950.0,4.0,120.0,3
420,Ambedkar Nagar,1852.0,3.0,125.0,3
421,Ambedkar Nagar,1850.0,4.0,121.0,3
422,Ambedkar Nagar,1425.0,2.0,94.0,2
423,Ambedkar Nagar,2395.0,4.0,150.0,3
424,Amruthahalli,900.0,2.0,40.0,2
425,Amruthahalli,1200.0,2.0,55.0,2
426,Amruthahalli,1900.0,3.0,135.0,3
427,Amruthahalli,924.0,2.0,45.0,2
428,Amruthahalli,900.0,2.0,60.0,2
429,Amruthahalli,1100.0,2.0,45.0,2
430,Amruthahalli,1200.0,2.0,55.0,2
431,Amruthahalli,1350.0,2.0,63.0,3
432,Amruthahalli,1605.0,3.0,65.0,3
433,Amruthahalli,1700.0,3.0,77.0,3
434,Amruthahalli,1450.0,2.0,85.0,3
435,Amruthahalli,1200.0,2.0,55.0,2
436,Amruthahalli,1250.0,2.0,79.0,2
437,Amruthahalli,1190.0,2.0,50.0,2
438,Amruthahalli,1202.0,2.0,65.0,2
439,Amruthahalli,1340.0,2.0,75.0,2
440,Amruthahalli,2650.0,4.0,175.0,3
441,Amruthahalli,1450.0,2.0,90.0,3
442,Amruthahalli,1025.0,2.0,42.0,2
443,Amruthahalli,485.0,1.0,19.5,1
444,Anandapura,1167.0,2.0,43.76,2
445,Anandapura,1000.0,2.0,55.0,2
446,Anandapura,1141.0,2.0,42.79,2
447,Anandapura,1576.0,3.0,59.1,3
448,Anandapura,1200.0,2.0,67.0,2
449,Anandapura,1200.0,2.0,58.0,2
450,Anandapura,1151.0,2.0,43.1,2
451,Anandapura,1141.0,2.0,42.75,2
452,Anandapura,900.0,2.0,48.0,2
453,Anandapura,1749.0,4.0,90.0,4
454,Anandapura,1151.0,2.0,42.9,2
455,Anandapura,1576.0,3.0,58.0,3
456,Anandapura,1250.0,2.0,45.0,2
457,Anandapura,875.0,2.0,57.0,2
458,Anandapura,1151.0,2.0,43.16,2
459,Anandapura,1200.0,2.0,58.0,2
460,Anandapura,1200.0,2.0,66.0,3
461,Anandapura,1415.0,2.0,74.0,3
462,Anandapura,1200.0,2.0,50.0,2
463,Anandapura,1141.0,2.0,50.0,2
464,Anandapura,1576.0,3.0,58.7,3
465,Ananth Nagar,500.0,1.0,14.0,1
466,Ananth Nagar,1100.0,2.0,31.5,2
467,Ananth Nagar,982.0,2.0,24.55,2
468,Ananth Nagar,500.0,2.0,14.0,1
469,Ananth Nagar,900.0,2.0,22.5,2
470,Ananth Nagar,908.0,2.0,26.0,2
471,Ananth Nagar,870.0,2.0,36.0,2
472,Ananth Nagar,937.0,2.0,35.0,2
473,Ananth Nagar,960.0,2.0,37.0,2
474,Ananth Nagar,500.0,1.0,14.0,1
475,Ananth Nagar,1000.0,2.0,29.7,2
476,Ananth Nagar,850.0,2.0,25.99,2
477,Ananth Nagar,902.0,2.0,25.26,2
478,Ananth Nagar,1470.0,3.0,54.0,3
479,Ananth Nagar,810.0,2.0,25.5,2
480,Ananth Nagar,890.0,2.0,27.0,2
481,Ananth Nagar,1200.0,2.0,36.0,2
482,Ananth Nagar,1319.0,3.0,37.75,3
483,Ananth Nagar,1319.0,3.0,42.0,3
484,Ananth Nagar,1000.0,2.0,25.0,2
485,Ananth Nagar,902.0,2.0,25.0,2
486,Ananth Nagar,930.0,2.0,25.99,2
487,Ananth Nagar,1074.0,2.0,26.85,2
488,Ananth Nagar,500.0,1.0,14.0,1
489,Ananth Nagar,1010.0,2.0,38.0,2
490,Ananth Nagar,992.0,2.0,24.8,2
491,Anekal,1200.0,1.0,36.0,2
492,Anekal,656.0,2.0,22.0,2
493,Anekal,620.0,2.0,22.0,2
494,Anekal,600.0,1.0,16.5,1
495,Anekal,925.0,2.0,40.0,2
496,Anekal,530.0,1.0,18.0,1
497,Anekal,1800.0,3.0,68.0,3
498,Anekal,1200.0,1.0,36.0,2
499,Anekal,1035.0,2.0,38.3,2
500,Anekal,888.0,2.0,34.0,2
501,Anekal,1200.0,2.0,36.1,2
502,Anekal,700.0,1.0,19.4,2
503,Anekal,1200.0,1.0,36.0,2
504,Anekal,1200.0,2.0,36.0,4
505,Anekal,766.0,2.0,28.0,2
506,Anekal,967.0,2.0,45.0,3
507,Anekal,620.0,1.0,23.5,2
508,Anekal,1150.0,3.0,45.0,3
509,Anekal,1200.0,1.0,36.0,2
510,Anekal,1200.0,1.0,36.0,2
511,Anekal,400.0,1.0,11.5,1
